ID;Brand;Model;Color;Mileage;Condition
1;Mazda;Generic Model 3;Blue;22932;New
2;Jaguar;Generic Model 2;Silver;89937;New
3;Land Rover;Generic Model 2;Green;36616;New
4;Porsche;Generic Model 2;Black;82812;Used
5;Land Rover;Generic Model 3;Black;184616;Used
6;Porsche;Generic Model 2;Blue;96785;New
7;Volvo;Generic Model 3;Silver;177385;Used
8;Chevrolet;Generic Model 3;Blue;47226;Used
9;Ford;Focus;Black;176272;Used
10;Hyundai;Generic Model 3;Silver;6153;New
11;Tesla;Generic Model 2;Red;11396;Used
12;Lexus;Generic Model 3;Silver;69360;New
13;Mercedes-Benz;Generic Model 3;Silver;103327;New
14;Lexus;Generic Model 2;Red;56308;Used
15;Chevrolet;Generic Model 3;Red;47196;New
16;Subaru;Generic Model 2;Green;132215;Used
17;Volkswagen;Generic Model 1;Black;132033;New
18;Audi;Generic Model 3;Green;32418;New
19;Subaru;Generic Model 3;Green;128671;Used
20;Audi;Generic Model 3;White;22778;New
21;Hyundai;Generic Model 2;Blue;108954;Used
22;Honda;Odyssey;Green;118369;New
23;Lexus;Generic Model 1;Green;121183;Used
24;Audi;Generic Model 3;Blue;57114;New
25;Porsche;Generic Model 3;Blue;87679;Used
26;Land Rover;Generic Model 1;Black;44748;Used
27;Subaru;Generic Model 3;Blue;140899;Used
28;Jaguar;Generic Model 2;Red;124609;New
29;Land Rover;Generic Model 2;Blue;196885;New
30;Jeep;Generic Model 2;White;101125;Used
31;Jeep;Generic Model 3;Black;171553;Used
32;Land Rover;Generic Model 2;Red;77134;Used
33;Jeep;Generic Model 1;Red;11783;Used
34;Mercedes-Benz;Generic Model 1;White;167933;Used
35;Honda;Civic;Blue;108181;New
36;Jaguar;Generic Model 1;Blue;101939;New
37;Chevrolet;Generic Model 3;Green;92328;New
38;Land Rover;Generic Model 3;Blue;172140;Used
39;Ford;Focus;Black;54474;New
40;Jaguar;Generic Model 3;Silver;181882;New
41;Volvo;Generic Model 2;Red;14423;New
42;Mercedes-Benz;Generic Model 3;Red;111223;New
43;Hyundai;Generic Model 2;Blue;70144;Used
44;Lexus;Generic Model 2;White;172687;Used
45;BMW;Generic Model 2;Blue;97040;New
46;Nissan;Generic Model 2;Blue;12066;Used
47;Honda;Pilot;White;132622;New
48;Lexus;Generic Model 1;Black;20314;New
49;Subaru;Generic Model 2;Red;57162;New
50;Volvo;Generic Model 3;Green;19812;New
51;Jaguar;Generic Model 3;Green;188355;Used
52;Chevrolet;Generic Model 1;Red;53823;New
53;Audi;Generic Model 3;Blue;119357;Used
54;Mazda;Generic Model 3;Silver;171027;Used
55;Jeep;Generic Model 3;Green;43896;Used
56;Audi;Generic Model 2;Green;25430;New
57;Jaguar;Generic Model 3;Red;91059;New
58;Volkswagen;Generic Model 3;Red;135609;Used
59;Land Rover;Generic Model 3;Silver;81668;Used
60;Land Rover;Generic Model 3;Black;84926;Used
61;Kia;Generic Model 3;Black;2602;New
62;Hyundai;Generic Model 1;Green;197685;New
63;Hyundai;Generic Model 1;White;184401;New
64;Audi;Generic Model 3;Black;176913;New
65;Toyota;Tacoma;Green;143274;New
66;Hyundai;Generic Model 2;Black;112620;Used
67;Land Rover;Generic Model 1;Black;67598;New
68;Volkswagen;Generic Model 1;Silver;109234;New
69;Volvo;Generic Model 1;Black;167338;New
70;Lexus;Generic Model 3;White;86800;New
71;Ford;Focus;Red;36492;New
72;Volkswagen;Generic Model 2;White;126341;Used
73;Toyota;RAV4;Blue;145610;New
74;Chevrolet;Generic Model 1;Silver;47157;New
75;Subaru;Generic Model 1;White;76629;New
76;Jaguar;Generic Model 1;White;119281;New
