ID;Brand;Price
1;Mazda;65732
2;Jaguar;58620
3;Land Rover;50574
4;Porsche;35436
5;Land Rover;63880
6;Porsche;42794
7;Volvo;58082
8;Chevrolet;31079
9;Ford;59437
10;Hyundai;27767
11;Tesla;38296
12;Lexus;76077
13;Mercedes-Benz;14759
14;Lexus;53734
15;Chevrolet;21061
16;Subaru;55023
17;Volkswagen;11982
18;Audi;44143
19;Subaru;12448
20;Audi;60963
21;Hyundai;14327
22;Honda;49451
23;Lexus;5430
24;Audi;21466
25;Porsche;39938
26;Land Rover;9078
27;Subaru;15376
28;Jaguar;28389
29;Land Rover;76883
30;Jeep;62818
31;Jeep;59375
32;Land Rover;15953
33;Jeep;69408
34;Mercedes-Benz;14655
35;Honda;47708
36;Jaguar;63085
37;Chevrolet;60362
38;Land Rover;28426
39;Ford;43505
40;Jaguar;17168
41;Volvo;43449
42;Mercedes-Benz;79304
43;Hyundai;63031
44;Lexus;9931
45;BMW;65119
46;Nissan;20581
47;Honda;74174
48;Lexus;23095
49;Subaru;48195
50;Volvo;51067
51;Jaguar;19652
52;Chevrolet;63620
53;Audi;27208
54;Mazda;73455
55;Jeep;9223
56;Audi;11739
57;Jaguar;38900
58;Volkswagen;10294
59;Land Rover;22233
60;Land Rover;47422
61;Kia;72426
62;Hyundai;16883
63;Hyundai;35827
64;Audi;35470
65;Toyota;64019
66;Hyundai;26616
67;Land Rover;50238
68;Volkswagen;25788
69;Volvo;70940
70;Lexus;56282
71;Ford;56295
72;Volkswagen;60283
73;Toyota;47764
74;Chevrolet;53782
75;Subaru;31042
76;Jaguar;15107
77;Nissan;50542
78;Land Rover;32878
79;Ford;15512
80;BMW;63735
81;Mazda;12408
82;Jeep;33307
83;Hyundai;54818
84;Mercedes-Benz;42175
85;Toyota;69536
86;Toyota;6334
87;Jaguar;67567
88;Tesla;16430
89;Lexus;71571
90;Hyundai;19095
91;Audi;52631
92;Volkswagen;63928
93;Jeep;37123
94;Ford;64353
95;BMW;35350
96;Honda;38678
97;Volvo;75753
98;Hyundai;17825
99;Toyota;40835
100;Volvo;25295
101;Mercedes-Benz;75539
102;Toyota;5764
103;Jeep;23587
104;Chevrolet;70000
105;Ford;21974
106;Subaru;17839
107;Volvo;75345
108;Mazda;35692
109;Ford;67509
110;Volvo;20362
111;Hyundai;59218
112;BMW;18561
113;Nissan;10588
114;Chevrolet;66481
115;Jaguar;53228
116;Porsche;24865
117;Toyota;25988
118;Volkswagen;44949
119;Mercedes-Benz;58955
120;Jeep;16113
121;Chevrolet;53381
122;Jeep;21914
123;Audi;60030
124;Volvo;35002
125;Audi;17658
126;Mazda;14010
127;Lexus;35885
128;Lexus;73946
129;Jaguar;28252
130;Kia;63937
131;Ford;60334
132;Ford;58111
133;Mercedes-Benz;74204
134;Audi;75112
135;Jeep;55002
136;Toyota;44449
137;Jaguar;34731
138;Mercedes-Benz;45687
139;Tesla;59308
140;Volvo;34098
141;Audi;62364
142;Jaguar;55485
143;Audi;16251
144;Hyundai;35006
145;Mercedes-Benz;8670
146;Mercedes-Benz;73981
147;Subaru;10048
148;Subaru;69928
149;Honda;61222
150;Jeep;54427
151;Jeep;74757
152;Hyundai;38444
153;Audi;35591
154;Volkswagen;72316
155;Audi;20054
156;Lexus;67174
157;Tesla;34659
158;Volvo;51232
159;Jeep;51805
160;Volvo;30300
161;Land Rover;35574
162;Mercedes-Benz;63583
163;Mazda;26725
164;Porsche;36217
165;Honda;51067
166;Mazda;32465
167;Mazda;24335
168;BMW;32491
169;Tesla;28460
170;Chevrolet;48044
171;Jaguar;43500
172;Land Rover;24704
173;Mazda;34163
174;Honda;36418
175;Subaru;41817
176;Jeep;73685
177;Mercedes-Benz;39116
178;Land Rover;79540
179;Toyota;12127
180;Mazda;48569
181;Lexus;65071
182;Volvo;57409
183;Subaru;25894
184;Jaguar;38056
185;Mazda;41044
186;Kia;20919
187;Porsche;57703
188;Jeep;8218
189;Audi;46455
190;Ford;8794
191;Tesla;6943
192;Ford;8358
193;Land Rover;76051
194;Jeep;32794
195;Volvo;46245
196;Subaru;38809
197;Nissan;14731
198;BMW;70634
199;Mercedes-Benz;74446
200;Subaru;69468
201;Lexus;9992
202;Jaguar;19167
203;Land Rover;75273
204;Lexus;74784
205;Kia;43403
206;Ford;50027
207;Volvo;13077
208;Volkswagen;54995
209;Jeep;57114
210;Land Rover;5888
211;Lexus;12524
212;Subaru;23036
213;Volkswagen;60390
214;Tesla;9543
215;Porsche;56847
216;Honda;78195
217;Volvo;47594
218;Kia;19395
219;Nissan;70400
220;Ford;21627
221;Honda;13146
222;Chevrolet;45024
223;Hyundai;61469
224;Jaguar;46446
225;Mazda;36699
226;Jaguar;13456
227;Ford;15119
228;Mercedes-Benz;20630
229;Ford;71651
230;Volkswagen;51311
231;Mazda;22485
232;Ford;30689
233;Volvo;57216
234;Tesla;46100
235;Jaguar;44055
236;Audi;12900
237;Audi;7032
238;Toyota;24712
239;Land Rover;42756
240;Hyundai;24877
241;Mazda;38809
242;Subaru;35974
243;Toyota;73029
244;Mercedes-Benz;40156
245;Tesla;50633
246;Audi;6707
247;Kia;32819
248;Ford;66999
249;Jaguar;49568
250;Ford;45034
251;Kia;23415
252;BMW;15755
253;Tesla;27420
254;Toyota;45130
255;Mazda;7138
256;Chevrolet;31146
257;Jeep;61477
258;Mercedes-Benz;52065
259;Chevrolet;64885
260;Toyota;61503
261;Nissan;5048
262;Tesla;76769
263;Honda;51583
264;Toyota;22344
265;Porsche;44210
266;Lexus;19585
267;Jaguar;79177
268;Audi;31265
269;Tesla;62185
270;Honda;60101
271;Mazda;24682
272;Lexus;23597
273;Volkswagen;35779
274;Nissan;6937
275;Subaru;32824
276;Subaru;33603
277;Audi;56945
278;Toyota;65054
279;Subaru;52150
280;Ford;21791
