ID;Brand;Year
1;Mazda;2003
2;Jaguar;2003
3;Land Rover;2022
4;Porsche;1997
5;Land Rover;2000
6;Porsche;1997
7;Volvo;2003
8;Chevrolet;1997
9;Ford;2003
10;Hyundai;2014
11;Tesla;2009
12;Lexus;1992
13;Mercedes-Benz;2001
14;Lexus;1998
15;Chevrolet;1992
16;Subaru;1999
17;Volkswagen;1993
18;Audi;2001
19;Subaru;2016
20;Audi;2008
21;Hyundai;2011
22;Honda;1993
23;Lexus;2019
24;Audi;2004
25;Porsche;2019
26;Land Rover;1998
27;Subaru;2000
28;Jaguar;2019
29;Land Rover;2004
30;Jeep;2004
31;Jeep;1990
32;Land Rover;2012
33;Jeep;2010
34;Mercedes-Benz;2014
35;Honda;2016
36;Jaguar;2006
37;Chevrolet;1996
38;Land Rover;2005
39;Ford;1994
40;Jaguar;2022
41;Volvo;2005
42;Mercedes-Benz;2014
43;Hyundai;2011
44;Lexus;2009
45;BMW;1998
46;Nissan;2011
47;Honda;2000
48;Lexus;1998
49;Subaru;2021
50;Volvo;1990
51;Jaguar;2010
52;Chevrolet;2012
53;Audi;2016
54;Mazda;2010
55;Jeep;2007
56;Audi;2013
57;Jaguar;1996
58;Volkswagen;2015
59;Land Rover;2006
60;Land Rover;1993
61;Kia;2007
62;Hyundai;2010
63;Hyundai;2013
64;Audi;1998
65;Toyota;1994
66;Hyundai;1995
67;Land Rover;2005
68;Volkswagen;2002
69;Volvo;2019
70;Lexus;2001
71;Ford;2003
72;Volkswagen;2007
73;Toyota;2018
74;Chevrolet;1997
75;Subaru;1991
76;Jaguar;1992
77;Nissan;2000
78;Land Rover;2003
79;Ford;2010
80;BMW;1999
81;Mazda;2022
82;Jeep;2010
83;Hyundai;2013
84;Mercedes-Benz;2004
85;Toyota;2016
86;Toyota;2014
87;Jaguar;2021
88;Tesla;2003
89;Lexus;2004
90;Hyundai;2008
91;Audi;2018
92;Volkswagen;1996
93;Jeep;1990
94;Ford;1991
95;BMW;2021
96;Honda;2011
97;Volvo;2001
98;Hyundai;1991
99;Toyota;1998
100;Volvo;1998
101;Mercedes-Benz;2003
102;Toyota;1994
103;Jeep;1996
104;Chevrolet;1999
105;Ford;2021
106;Subaru;2000
107;Volvo;2003
108;Mazda;1998
109;Ford;1994
110;Volvo;2018
111;Hyundai;2018
112;BMW;2022
113;Nissan;2010
114;Chevrolet;1991
115;Jaguar;1996
116;Porsche;1996
117;Toyota;2006
118;Volkswagen;2002
119;Mercedes-Benz;1998
120;Jeep;1990
121;Chevrolet;2001
122;Jeep;2012
123;Audi;1998
124;Volvo;2001
125;Audi;2017
126;Mazda;2020
127;Lexus;1999
128;Lexus;2014
129;Jaguar;2017
130;Kia;1993
131;Ford;2015
132;Ford;2021
133;Mercedes-Benz;1996
134;Audi;2000
135;Jeep;2005
136;Toyota;2011
137;Jaguar;2003
138;Mercedes-Benz;2019
139;Tesla;2015
140;Volvo;2007
141;Audi;2020
142;Jaguar;2013
143;Audi;2008
144;Hyundai;2016
145;Mercedes-Benz;2001
146;Mercedes-Benz;2004
147;Subaru;2005
148;Subaru;2012
149;Honda;2021
150;Jeep;2014
151;Jeep;1991
152;Hyundai;1998
153;Audi;2014
154;Volkswagen;2004
155;Audi;2002
156;Lexus;2001
157;Tesla;2019
158;Volvo;1990
159;Jeep;2004
160;Volvo;1995
161;Land Rover;2001
162;Mercedes-Benz;2002
163;Mazda;1997
164;Porsche;1991
165;Honda;2016
166;Mazda;2016
167;Mazda;2018
168;BMW;2008
169;Tesla;1995
170;Chevrolet;1998
171;Jaguar;2015
172;Land Rover;2003
173;Mazda;1997
174;Honda;2021
175;Subaru;2004
176;Jeep;2007
177;Mercedes-Benz;2003
178;Land Rover;1997
179;Toyota;2020
180;Mazda;2007
181;Lexus;1995
182;Volvo;2011
183;Subaru;2022
184;Jaguar;2000
185;Mazda;2022
186;Kia;1999
187;Porsche;2020
188;Jeep;2010
189;Audi;1992
190;Ford;2019
191;Tesla;2009
192;Ford;2004
193;Land Rover;2010
194;Jeep;2015
195;Volvo;1995
196;Subaru;2019
197;Nissan;2017
198;BMW;1996
199;Mercedes-Benz;2010
200;Subaru;1991
201;Lexus;1992
202;Jaguar;2013
203;Land Rover;1997
204;Lexus;2020
205;Kia;2018
206;Ford;2017
207;Volvo;1993
208;Volkswagen;1999
209;Jeep;2004
210;Land Rover;1991
211;Lexus;2003
212;Subaru;2001
213;Volkswagen;2001
214;Tesla;2005
215;Porsche;2018
216;Honda;2013
217;Volvo;2016
218;Kia;2010
219;Nissan;1998
220;Ford;2018
221;Honda;2011
222;Chevrolet;1993
223;Hyundai;2011
224;Jaguar;2009
225;Mazda;1993
226;Jaguar;2017
227;Ford;2020
228;Mercedes-Benz;1996
229;Ford;2020
230;Volkswagen;2012
231;Mazda;2003
232;Ford;2015
233;Volvo;1990
234;Tesla;2014
235;Jaguar;2010
236;Audi;1990
237;Audi;2016
238;Toyota;2020
239;Land Rover;2009
240;Hyundai;2008
241;Mazda;1995
242;Subaru;2015
243;Toyota;2010
244;Mercedes-Benz;2005
245;Tesla;1992
246;Audi;2018
247;Kia;2018
248;Ford;1990
249;Jaguar;2020
250;Ford;2007
251;Kia;2022
252;BMW;2017
253;Tesla;1998
254;Toyota;2001
255;Mazda;1999
256;Chevrolet;2019
257;Jeep;1992
258;Mercedes-Benz;1992
259;Chevrolet;1992
260;Toyota;1994
261;Nissan;1990
262;Tesla;2016
263;Honda;1998
264;Toyota;2010
265;Porsche;2022
266;Lexus;2011
267;Jaguar;2003
268;Audi;1997
269;Tesla;2012
270;Honda;2003
271;Mazda;1991
272;Lexus;1999
273;Volkswagen;2009
274;Nissan;1996
275;Subaru;2005
276;Subaru;2000
277;Audi;2005
278;Toyota;2002
279;Subaru;2008
280;Ford;2013
281;Lexus;1995
282;Kia;1994
283;Jaguar;2017
284;Lexus;2010
285;Mercedes-Benz;1990
286;Audi;2016
287;Subaru;2000
288;Mazda;2007
289;Honda;2000
290;Lexus;2013
291;Mazda;2000
292;BMW;1997
293;Hyundai;2017
294;Mercedes-Benz;1991
295;Toyota;2006
296;Porsche;1993
297;Toyota;1992
298;Chevrolet;1996
299;Honda;2013
300;Porsche;2019
301;Subaru;2016
302;Tesla;1995
303;Land Rover;2007
304;Land Rover;2022
305;Volkswagen;2006
306;Chevrolet;2012
307;Audi;2014
308;Volkswagen;1991
309;Mazda;2010
310;BMW;2001
311;Volvo;1999
312;Kia;2022
313;Honda;1995
314;Tesla;1994
315;Porsche;2021
316;Jeep;2009
317;Tesla;2016
318;Chevrolet;2017
319;Hyundai;1992
320;Nissan;2022
321;BMW;2000
322;Jeep;2020
323;Nissan;1993
324;Mercedes-Benz;2012
325;Audi;2000
326;Honda;2008
327;Toyota;2006
328;Mercedes-Benz;1991
329;Jaguar;2009
330;Jaguar;1999
331;Jaguar;1997
332;Nissan;2010
333;Mazda;2014
334;Tesla;2012
335;Volkswagen;2000
336;Audi;2011
337;Jeep;2015
338;Nissan;2010
339;Jaguar;1994
340;Jeep;2016
341;Nissan;2017
342;Audi;1990
343;Ford;2021
344;Jeep;2002
345;Hyundai;2012
346;Honda;2013
347;Jeep;1990
348;BMW;2016
349;Subaru;1991
350;Volvo;1998
351;Lexus;2006
352;Nissan;2014
353;Chevrolet;1993
354;Mercedes-Benz;2022
355;BMW;1990
356;Volvo;2019
357;Toyota;1993
358;Volvo;2004
359;Chevrolet;1994
360;Jaguar;2012
361;Hyundai;2014
362;Subaru;1990
363;Jeep;2005
364;BMW;2016
365;Land Rover;2000
366;BMW;2009
367;Nissan;1990
368;Audi;2003
369;Volkswagen;2017
370;Nissan;2022
371;Subaru;2001
372;Honda;2008
373;Honda;2006
374;Tesla;2015
375;Hyundai;2003
376;Chevrolet;2004
377;Hyundai;2018
378;Land Rover;1994
379;Jeep;2013
380;Mazda;2005
381;Lexus;2017
382;Lexus;2014
383;Audi;2008
384;Ford;2011
385;Audi;2015
386;Volkswagen;1991
387;Land Rover;2014
388;Jeep;1990
389;Audi;2001
390;Ford;2008
391;BMW;2020
392;Honda;2008
393;Jeep;2007
394;Land Rover;1999
395;Ford;1999
396;Porsche;1995
397;Ford;1994
398;Lexus;2000
399;Mazda;1995
400;Porsche;2018
401;Jeep;2021
402;Ford;2005
403;Chevrolet;1998
404;Honda;1995
405;Lexus;1992
406;Tesla;2022
407;Tesla;2012
408;Mazda;2016
409;Audi;2020
410;Honda;2007
411;Jaguar;1992
412;Porsche;2006
413;Land Rover;2000
414;Nissan;2015
415;Nissan;2004
416;Ford;2004
417;Land Rover;2022
418;Jeep;2022
419;Land Rover;2016
420;Tesla;1993
421;Porsche;1995
422;Audi;1999
423;Mazda;2000
424;Lexus;1993
425;Nissan;2022
426;BMW;1999
427;Mazda;2012
428;Ford;1995
429;Volvo;2013
430;BMW;2006
431;Honda;2014
432;Toyota;1990
433;Audi;2010
434;BMW;2004
435;Porsche;1995
436;Tesla;2018
437;Volvo;2000
438;Porsche;2002
439;BMW;2014
440;Chevrolet;1991
441;Nissan;1992
442;Volkswagen;1999
443;Toyota;2007
444;Kia;2022
445;Toyota;1993
446;Jeep;2007
447;Subaru;2022
448;Lexus;1990
449;BMW;2010
450;Nissan;2014
451;Volkswagen;2015
452;Lexus;2016
453;Jaguar;1997
454;Porsche;2020
455;Subaru;1999
456;Ford;2012
457;BMW;2012
458;Mazda;2004
459;Chevrolet;2010
460;Tesla;2011
461;Jeep;2020
462;BMW;1998
463;Nissan;1997
464;Honda;1992
465;BMW;2006
466;Lexus;1997
467;Kia;2005
468;Ford;1994
469;Mercedes-Benz;1993
470;Land Rover;2002
471;Land Rover;2013
472;Mazda;2008
473;Nissan;1994
474;Lexus;2002
475;Lexus;2015
476;Volkswagen;2007
477;Tesla;2006
478;Jaguar;2016
479;Hyundai;2020
480;BMW;1992
481;Hyundai;2005
482;Mercedes-Benz;1990
483;Jaguar;1999
484;Jaguar;1991
485;Volvo;1992
486;Chevrolet;1993
487;Porsche;2009
488;Toyota;1992
489;Porsche;2022
490;Lexus;1994
491;Tesla;2014
492;Jeep;2021
493;Land Rover;1991
494;Land Rover;2012
495;Nissan;2000
496;Honda;1995
497;Toyota;1998
498;Kia;2005
499;Mazda;2019
500;Hyundai;1993
501;Chevrolet;1997
502;Tesla;2003
503;Honda;2015
504;Nissan;2008
505;Kia;2004
506;Audi;1997
507;Mazda;2014
508;Mazda;2019
509;Mercedes-Benz;2003
510;Kia;2010
511;Lexus;2019
512;Land Rover;2000
513;Kia;2008
514;Tesla;2009
515;Chevrolet;2000
516;Volvo;2001
517;Tesla;2013
518;Volvo;2021
519;Jaguar;1997
520;Volkswagen;2004
521;Mazda;1991
522;Jeep;1993
523;Hyundai;2011
524;Chevrolet;2015
525;Mercedes-Benz;2009
526;Mercedes-Benz;1995
